Apia WST - 11:00:00
Midway SST - 11:00:00
Niue NUT - 11:00:00
Pago_Pago SST - 11:00:00
Adak HAST - 10:00:00
Fakaofo TKT - 10:00:00
Honolulu HST - 10:00:00
Johnston HST - 10:00:00
Rarotonga CKT - 10:00:00
Tahiti TAHT - 10:00:00
Marquesas MART - 09:30:00
Anchorage AKST - 09:00:00
Juneau AKST - 09:00:00
Nome AKST - 09:00:00
Yakutat AKST - 09:00:00
Gambier GAMT - 09:00:00
Dawson PST - 08:00:00
Los_Angeles PST - 08:00:00
Tijuana PST - 08:00:00
Vancouver PST - 08:00:00
Whitehorse PST - 08:00:00
Pitcairn PST - 08:00:00
Boise MST - 07:00:00
Cambridge_Bay MST - 07:00:00
Chihuahua MST - 07:00:00
Dawson_Creek MST - 07:00:00
Denver MST - 07:00:00
Edmonton MST - 07:00:00
Hermosillo MST - 07:00:00
Inuvik MST - 07:00:00
Mazatlan MST - 07:00:00
Phoenix MST - 07:00:00
Shiprock MST - 07:00:00
Yellowknife MST - 07:00:00
Belize CST - 06:00:00
Cancun CST - 06:00:00
Chicago CST - 06:00:00
Costa_Rica CST - 06:00:00
El_Salvador CST - 06:00:00
Guatemala CST - 06:00:00
Managua CST - 06:00:00
Menominee CST - 06:00:00
Merida CST - 06:00:00
Mexico_City CST - 06:00:00
Monterrey CST - 06:00:00
North_Dakota CST - 06:00:00
Rainy_River CST - 06:00:00
Rankin_Inlet CST - 06:00:00
Regina CST - 06:00:00
Swift_Current CST - 06:00:00
Tegucigalpa CST - 06:00:00
Winnipeg CST - 06:00:00
Easter EAST - 06:00:00
Galapagos GALT - 06:00:00
Bogota COT - 05:00:00
Cayman EST - 05:00:00
Detroit EST - 05:00:00
Eirunepe ACT - 05:00:00
Grand_Turk EST - 05:00:00
Guayaquil ECT - 05:00:00
Havana CST - 05:00:00
polis EST - 05:00:00
Knox EST - 05:00:00
Marengo EST - 05:00:00
Vevay EST - 05:00:00
polis EST - 05:00:00
Iqaluit EST - 05:00:00
Jamaica EST - 05:00:00
Louisville EST - 05:00:00
Monticello EST - 05:00:00
Lima PET - 05:00:00
Louisville EST - 05:00:00
Montreal EST - 05:00:00
Nassau EST - 05:00:00
New_York EST - 05:00:00
Nipigon EST - 05:00:00
Panama EST - 05:00:00
Pangnirtung EST - 05:00:00
Port-au-Prince EST - 05:00:00
Rio_Branco ACT - 05:00:00
Thunder_Bay EST - 05:00:00
Anguilla AST - 04:00:00
Antigua AST - 04:00:00
Aruba AST - 04:00:00
Asuncion PYT - 04:00:00
Barbados AST - 04:00:00
Boa_Vista AMT - 04:00:00
Caracas VET - 04:00:00
Cuiaba AMT - 04:00:00
Curacao AST - 04:00:00
Dominica AST - 04:00:00
Glace_Bay AST - 04:00:00
Goose_Bay AST - 04:00:00
Grenada AST - 04:00:00
Guadeloupe AST - 04:00:00
Guyana GYT - 04:00:00
Halifax AST - 04:00:00
La_Paz BOT - 04:00:00
Manaus AMT - 04:00:00
Martinique AST - 04:00:00
Montserrat AST - 04:00:00
Port_of_Spain AST - 04:00:00
Porto_Velho AMT - 04:00:00
Puerto_Rico AST - 04:00:00
Santiago CLT - 04:00:00
Santo_Domingo AST - 04:00:00
St_Kitts AST - 04:00:00
St_Lucia AST - 04:00:00
St_Thomas AST - 04:00:00
St_Vincent AST - 04:00:00
Thule AST - 04:00:00
Tortola AST - 04:00:00
Palmer CLT - 04:00:00
Bermuda AST - 04:00:00
Stanley FKT - 04:00:00
St_Johns NST - 03:30:00
Araguaina BRT - 03:00:00
Belem BRT - 03:00:00
Buenos_Aires ART - 03:00:00
Catamarca ART - 03:00:00
Cayenne GFT - 03:00:00
Cordoba ART - 03:00:00
Fortaleza BRT - 03:00:00
Godthab WGT - 03:00:00
Jujuy ART - 03:00:00
Maceio BRT - 03:00:00
Mendoza ART - 03:00:00
Miquelon PMST - 03:00:00
Montevideo UYT - 03:00:00
Paramaribo SRT - 03:00:00
Recife BRT - 03:00:00
Rosario ART - 03:00:00
Sao_Paulo BRT - 03:00:00
Noronha FNT - 02:00:00
South_Georgia GST - 02:00:00
Scoresbysund EGT - 01:00:00
Azores AZOT - 01:00:00
Cape_Verde CVT - 01:00:00
Abidjan GMT + 00:00:00
Accra GMT + 00:00:00
Bamako GMT + 00:00:00
Banjul GMT + 00:00:00
Bissau GMT + 00:00:00
Casablanca WET + 00:00:00
Conakry GMT + 00:00:00
Dakar GMT + 00:00:00
El_Aaiun WET + 00:00:00
Freetown GMT + 00:00:00
Lome GMT + 00:00:00
Monrovia GMT + 00:00:00
Nouakchott GMT + 00:00:00
Ouagadougou GMT + 00:00:00
Sao_Tome GMT + 00:00:00
Timbuktu GMT + 00:00:00
Danmarkshavn GMT + 00:00:00
Canary WET + 00:00:00
Faeroe WET + 00:00:00
Madeira WET + 00:00:00
Reykjavik GMT + 00:00:00
St_Helena GMT + 00:00:00
Belfast GMT + 00:00:00
Dublin GMT + 00:00:00
Lisbon WET + 00:00:00
London GMT + 00:00:00
Algiers CET + 01:00:00
Bangui WAT + 01:00:00
Brazzaville WAT + 01:00:00
Ceuta CET + 01:00:00
Douala WAT + 01:00:00
Kinshasa WAT + 01:00:00
Lagos WAT + 01:00:00
Libreville WAT + 01:00:00
Luanda WAT + 01:00:00
Malabo WAT + 01:00:00
Ndjamena WAT + 01:00:00
Niamey WAT + 01:00:00
Porto-Nova WAT + 01:00:00
Tunis CET + 01:00:00
Windhoek WAT + 01:00:00
Longyearbyen CET + 01:00:00
Jan_Mayen CET + 01:00:00
Amsterdam CET + 01:00:00
Andorra CET + 01:00:00
Belgrade CET + 01:00:00
Berlin CET + 01:00:00
Bratislava CET + 01:00:00
Brussels CET + 01:00:00
Budapest CET + 01:00:00
Copenhagen CET + 01:00:00
Gibraltar CET + 01:00:00
Ljubljana CET + 01:00:00
Luxembourg CET + 01:00:00
Madrid CET + 01:00:00
Malta CET + 01:00:00
Monaco CET + 01:00:00
Oslo CET + 01:00:00
Paris CET + 01:00:00
Prague CET + 01:00:00
Rome CET + 01:00:00
San_Marino CET + 01:00:00
Sarajevo CET + 01:00:00
Skopje CET + 01:00:00
Stockholm CET + 01:00:00
Tirane CET + 01:00:00
Vaduz CET + 01:00:00
Vatican CET + 01:00:00
Vienna CET + 01:00:00
Warsaw CET + 01:00:00
Zagreb CET + 01:00:00
Zurich CET + 01:00:00
Blantyre CAT + 02:00:00
Bujumbura CAT + 02:00:00
Cairo EET + 02:00:00
Gaborone CAT + 02:00:00
Harare CAT + 02:00:00
Johannesburg SAST + 02:00:00
Kigali CAT + 02:00:00
Lubumbashi CAT + 02:00:00
Lusaka CAT + 02:00:00
Maputo CAT + 02:00:00
Maseru SAST + 02:00:00
Mbabane SAST + 02:00:00
Tripoli EET + 02:00:00
Amman EET + 02:00:00
Beirut EET + 02:00:00
Damascus EET + 02:00:00
Gaza EET + 02:00:00
Istanbul EET + 02:00:00
Jerusalem IST + 02:00:00
Nicosia EET + 02:00:00
Athens EET + 02:00:00
Bucharest EET + 02:00:00
Chisinau EET + 02:00:00
Helsinki EET + 02:00:00
Istanbul EET + 02:00:00
Kaliningrad EET + 02:00:00
Kiev EET + 02:00:00
Minsk EET + 02:00:00
Nicosia EET + 02:00:00
Riga EET + 02:00:00
Simferopol EET + 02:00:00
Sofia EET + 02:00:00
Tallinn EET + 02:00:00
Uzhgorod EET + 02:00:00
Vilnius EET + 02:00:00
Zaporozhye EET + 02:00:00
Addis_Ababa EAT + 03:00:00
Asmera EAT + 03:00:00
Dar_es_Salaam EAT + 03:00:00
Djibouti EAT + 03:00:00
Kampala EAT + 03:00:00
Khartoum EAT + 03:00:00
Mogadishu EAT + 03:00:00
Nairobi EAT + 03:00:00
Syowa SYOT + 03:00:00
Aden AST + 03:00:00
Baghdad AST + 03:00:00
Bahrain AST + 03:00:00
Kuwait AST + 03:00:00
Qatar AST + 03:00:00
Riyadh AST + 03:00:00
Moscow MSK + 03:00:00
Antananarivo EAT + 03:00:00
Comoro EAT + 03:00:00
Mayotte EAT + 03:00:00
Tehran IRT + 03:30:00
Aqtau AQTT + 04:00:00
Baku AZT + 04:00:00
Dubai GST + 04:00:00
Maldives Muscat GST + 04:00:00
Tbilisi GET + 04:00:00
Yerevan AMT + 04:00:00
Samara SAMT + 04:00:00
Mahe SCT + 04:00:00
Mauritius MUT + 04:00:00
Reunion RET + 04:00:00
Kabul AFT + 04:30:00
Aqtobe AQTT + 05:00:00
Ashgabat TMT + 05:00:00
Bishkek KGT + 05:00:00
Dushanbe TJT + 05:00:00
Karachi PKT + 05:00:00
Oral WST + 05:00:00
Samarkand UZT + 05:00:00
Tashkent UZT + 05:00:00
Yekaterinburg YEKT + 05:00:00
Kerguelen TFT + 05:00:00
Maldives MVT + 05:00:00
Calcutta IST + 05:30:00
Katmandu NPT + 05:45:00
Mawson MAWT + 06:00:00
Vostok VOST + 06:00:00
Almaty ALMT + 06:00:00
Colombo LKT + 06:00:00
Dhaka BDT + 06:00:00
Novosibirsk NOVT + 06:00:00
Omsk OMST + 06:00:00
Qyzylorda KST + 06:00:00
Thimphu BTT + 06:00:00
Chagos IOT + 06:00:00
Rangoon MMT + 06:30:00
Cocos CCT + 06:30:00
Davis DAVT + 07:00:00
Bangkok ICT + 07:00:00
Hovd HOVT + 07:00:00
Jakarta WIT + 07:00:00
Krasnoyarsk KRAT + 07:00:00
Phnom_Penh ICT + 07:00:00
Pontianak WIT + 07:00:00
Saigon ICT + 07:00:00
Vientiane ICT + 07:00:00
Christmas CXT + 07:00:00
Casey WST + 08:00:00
Brunei BNT + 08:00:00
Chongqing CST + 08:00:00
Harbin CST + 08:00:00
Hong_Kong HKT + 08:00:00
Irkutsk IRKT + 08:00:00
Kashgar CST + 08:00:00
Kuala_Lumpur MYT + 08:00:00
Kuching MYT + 08:00:00
Macao CST + 08:00:00
Macau CST + 08:00:00
Makassar CIT + 08:00:00
Manila PHT + 08:00:00
Shanghai CST + 08:00:00
Singapore SGT + 08:00:00
Taipei CST + 08:00:00
Ujung_Pandang CIT + 08:00:00
Ulaanbaatar ULAT + 08:00:00
Urumqi CST + 08:00:00
Perth WST + 08:00:00
Choibalsan CHOT + 09:00:00
Dili TPT + 09:00:00
Jayapura EIT + 09:00:00
Pyongyang KST + 09:00:00
Seoul KST + 09:00:00
Tokyo JST + 09:00:00
Yakutsk YAKT + 09:00:00
Palau PWT + 09:00:00
Adelaide CST + 09:30:00
Broken_Hill CST + 09:30:00
Darwin CST + 09:30:00
DumontDUrville DDUT + 10:00:00
Sakhalin SAKT + 10:00:00
Vladivostok VLAT + 10:00:00
Brisbane EST + 10:00:00
Hobart EST + 10:00:00
Lindeman EST + 10:00:00
Melbourne EST + 10:00:00
Sydney EST + 10:00:00
Guam ChST + 10:00:00
Port_Moresby PGT + 10:00:00
Saipan ChST + 10:00:00
Truk TRUT + 10:00:00
Yap YAPT + 10:00:00
Lord_Howe LHST + 10:30:00
Magadan MAGT + 11:00:00
Efate VUT + 11:00:00
Guadalcanal SBT + 11:00:00
Kosrae KOST + 11:00:00
Noumea NCT + 11:00:00
Ponape PONT + 11:00:00
Norfolk NFT + 11:30:00
McMurdo NZST + 12:00:00
South_Pole NZST + 12:00:00
Anadyr ANAT + 12:00:00
Kamchatka PETT + 12:00:00
Auckland NZST + 12:00:00
Fiji FJT + 12:00:00
Funafuti TVT + 12:00:00
Kwajalein MHT + 12:00:00
Majuro MHT + 12:00:00
Nauru NRT + 12:00:00
Tarawa GILT + 12:00:00
Wake WAKT + 12:00:00
Wallis WFT + 12:00:00
Chatham CHAST + 12:45:00
Enderbury PHOT + 13:00:00
Tongatapu TOT + 13:00:00
Kiritimati LINT + 14:00:00
